Reading Duration;Conversion Duration;Sorting Duration;Compression Duration;Aggregation Duration;Writing Duration;Total Duration;Packet Handling Time;Packets per Second;Packet Count;Total File Size;Bytes per Packet;File Count
1099427151;1099501495;1102935945;1132958547;1141706114;1193887872;1246335640;1208;827814;1031564;13411454;13.0011;1
1121011229;1121102230;1124740281;1154772741;1163863154;1215759169;1267982805;1229;813669;1031564;13411294;13.0009;1
1140811835;1140871571;1144055528;1172232709;1180731832;1231919488;1283411590;1244;803858;1031564;13411322;13.001;1
1160505219;1160590655;1163720511;1194806040;1204071110;1254069327;1304431076;1264;791139;1031564;13411334;13.001;1
1131143639;1131204913;1134695491;1163759674;1172668417;1222877360;1273419031;1234;810372;1031564;13411502;13.0011;1
1134461218;1134533108;1137849844;1169643815;1178084360;1229279110;1280855156;1241;805801;1031564;13411570;13.0012;1
1126123918;1126200238;1129533226;1159263135;1168549432;1220799966;1272567322;1233;811030;1031564;13411458;13.0011;1
1091182607;1091259854;1094427996;1122690316;1131918195;1182095385;1232636709;1194;837520;1031564;13411550;13.0012;1
1085310820;1085400440;1088441558;1117151706;1126348139;1175992957;1226009482;1188;841750;1031564;13411410;13.001;1
1095698950;1095800294;1098556745;1129122485;1138442513;1190593503;1243735146;1205;829875;1031564;13411530;13.0012;1
1090230455;1090291233;1093626606;1122352540;1131425547;1183581201;1236041266;1198;834724;1031564;13411778;13.0014;1
1081074012;1081111986;1084237242;1112931203;1123437513;1173487034;1224060403;1186;843170;1031564;13411450;13.0011;1
1098958616;1099036318;1102300466;1132038077;1141044684;1194244526;1246957562;1208;827814;1031564;13411546;13.0012;1
1086800963;1086881606;1090097261;1119839824;1128936894;1179973198;1232640157;1194;837520;1031564;13411362;13.001;1
1094704651;1094794644;1098306667;1129683264;1138619534;1188856173;1239552849;1201;832639;1031564;13411522;13.0012;1
1105954001;1106030044;1109319276;1139515909;1148576746;1198788887;1249346216;1211;825763;1031564;13411402;13.001;1
1117957547;1118182267;1120943121;1152279090;1161422717;1211620873;1262316784;1223;817661;1031564;13411378;13.001;1
1109391869;1109473454;1112753031;1141863275;1151021304;1200975802;1251259533;1212;825082;1031564;13411570;13.0012;1
1107682274;1107733066;1111952939;1141892274;1151078560;1200989053;1251202662;1212;825082;1031564;13411330;13.001;1
1111352254;1111441424;1114565411;1147696785;1156976760;1208529676;1260597456;1222;818330;1031564;13411394;13.001;1
1119341661;1119866182;1123074191;1151764593;1160696550;1212673886;1265180089;1226;815660;1031564;13411482;13.0011;1
1118310371;1118619358;1121893539;1149678279;1158165042;1208319989;1259114894;1220;819672;1031564;13411346;13.001;1
1109639291;1109719176;1112964197;1142514234;1151266940;1201331724;1253418967;1215;823045;1031564;13411342;13.001;1
1101523643;1101576967;1104767864;1132732095;1141049780;1192740796;1244828973;1206;829187;1031564;13411254;13.0009;1
1096018190;1096071310;1099405415;1128850397;1137940452;1189620909;1242223528;1204;830564;1031564;13411282;13.0009;1
